sign,class,ordinal,gt_path,prediction_path,left_evaluated,right_evaluated
Ablehnen,~0,0,data/smplx_gt/Ablehnen/00298.obj,outputs/method_hamer/Ablehnen/smplifyx/meshes/low_149.obj,True,True
Ablehnen,~0,1,data/smplx_gt/Ablehnen/00302.obj,outputs/method_hamer/Ablehnen/smplifyx/meshes/low_151.obj,True,True
Ablehnen,~0,2,data/smplx_gt/Ablehnen/00306.obj,outputs/method_hamer/Ablehnen/smplifyx/meshes/low_153.obj,True,True
Ablehnen,~0,3,data/smplx_gt/Ablehnen/00310.obj,outputs/method_hamer/Ablehnen/smplifyx/meshes/low_155.obj,True,True
Ablehnen,~0,4,data/smplx_gt/Ablehnen/00314.obj,outputs/method_hamer/Ablehnen/smplifyx/meshes/low_157.obj,True,True
Ablehnen,~0,5,data/smplx_gt/Ablehnen/00318.obj,outputs/method_hamer/Ablehnen/smplifyx/meshes/low_159.obj,True,True
Ablehnen,~0,6,data/smplx_gt/Ablehnen/00322.obj,outputs/method_hamer/Ablehnen/smplifyx/meshes/low_161.obj,True,True
Ablehnen,~0,7,data/smplx_gt/Ablehnen/00326.obj,outputs/method_hamer/Ablehnen/smplifyx/meshes/low_163.obj,True,True
Ablehnen,~0,8,data/smplx_gt/Ablehnen/00330.obj,outputs/method_hamer/Ablehnen/smplifyx/meshes/low_165.obj,True,True
Ablehnen,~0,9,data/smplx_gt/Ablehnen/00334.obj,outputs/method_hamer/Ablehnen/smplifyx/meshes/low_167.obj,True,True
Ablehnen,~0,10,data/smplx_gt/Ablehnen/00338.obj,outputs/method_hamer/Ablehnen/smplifyx/meshes/low_169.obj,True,True
Ablehnen,~0,11,data/smplx_gt/Ablehnen/00342.obj,outputs/method_hamer/Ablehnen/smplifyx/meshes/low_171.obj,True,True
Ablehnen,~0,12,data/smplx_gt/Ablehnen/00346.obj,outputs/method_hamer/Ablehnen/smplifyx/meshes/low_173.obj,True,True
Ablehnen,~0,13,data/smplx_gt/Ablehnen/00350.obj,outputs/method_hamer/Ablehnen/smplifyx/meshes/low_175.obj,True,True
Akzeptieren,~0,0,data/smplx_gt/Akzeptieren/00248.obj,outputs/method_hamer/Akzeptieren/smplifyx/meshes/low_124.obj,True,True
Akzeptieren,~0,1,data/smplx_gt/Akzeptieren/00252.obj,outputs/method_hamer/Akzeptieren/smplifyx/meshes/low_126.obj,True,True
Akzeptieren,~0,2,data/smplx_gt/Akzeptieren/00256.obj,outputs/method_hamer/Akzeptieren/smplifyx/meshes/low_128.obj,True,True
Akzeptieren,~0,3,data/smplx_gt/Akzeptieren/00260.obj,outputs/method_hamer/Akzeptieren/smplifyx/meshes/low_130.obj,True,True
Akzeptieren,~0,4,data/smplx_gt/Akzeptieren/00264.obj,outputs/method_hamer/Akzeptieren/smplifyx/meshes/low_132.obj,True,True
